time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1708937533.31957150,0.05035702,52707,0.00091661,0.00000000,0,0.00000075,77369,77472,183,0.00305464
1708937533.41952825,0.05694932,48668,0.00054784,0.00000000,0,0.00000138,77472,77546,166,0.00482908
1708937533.51958275,0.06710121,51906,0.00093584,0.00000000,0,0.00000119,77546,77627,208,0.00245184
1708937533.61958766,0.03716901,49057,0.00085139,0.00000000,0,0.00000090,77627,77633,152,0.00365445
1708937533.71961594,0.04457929,49676,0.00056434,0.00000000,0,0.00000097,77633,77687,175,0.00617320
1708937533.81949806,0.04080738,48662,0.00051808,0.00000000,0,0.00000131,77687,77736,145,0.00560044
1708937533.91955280,0.04196994,49587,0.00083990,0.00000000,0,0.00000099,77736,77800,167,0.00872458
1708937534.01948833,0.05063839,50952,0.00042159,0.00000000,0,0.00000086,77800,77888,148,0.00258300
1708937534.11967850,0.03537823,49396,0.00061865,0.00000000,0,0.00000080,77888,77902,168,0.00782165
1708937534.21962404,0.07602972,47829,0.00073569,0.00000000,0,0.00000081,77902,77992,164,0.00410887
1708937534.31949663,0.04490406,50091,0.00075059,0.00000000,0,0.00000101,77992,78098,205,0.00488843
1708937534.41946697,0.03399126,48599,0.00054743,0.00000000,0,0.00000082,78098,78220,212,0.00571521
1708937534.51958871,0.03076245,50174,0.00046647,0.00000000,0,0.00000073,78220,78353,224,0.00380206
1708937534.61967421,0.03733174,50561,0.00059222,0.00000000,0,0.00000071,78353,78496,237,0.00259585
1708937534.71940970,0.03987520,49951,0.00110250,0.00000000,0,0.00000109,78496,78641,232,0.00433063
1708937534.81946421,0.03904405,49716,0.00071114,0.00000000,0,0.00000074,78641,78786,281,0.00357766
1708937534.91940784,0.03894941,49191,0.00127172,0.00000000,0,0.00000086,78786,78919,345,0.00400421
1708937535.01945543,0.03983610,48540,0.00145467,0.00000000,0,0.00000064,78919,79110,352,0.00967340
1708937535.11948848,0.03327582,51157,0.00151954,0.00000000,0,0.00000103,79110,79293,350,0.00360696
1708937535.21945095,0.04191443,50926,0.00183624,0.00000000,0,0.00000140,79293,79392,419,0.00494651
1708937535.31949186,0.04187190,51709,0.00256162,0.00000000,0,0.00000083,79392,79553,457,0.00971960
1708937535.41949487,0.03938801,50487,0.00131571,0.00000000,0,0.00000097,79553,79788,438,0.00355924
